ItemNo;Nom;UnitPrice;LineAmount;LastQuantity;GlobalQuantity;DocumentDate
1896-S;Bureau ATHÈNES;1005.80;1005.80;1;1;30/03/2026
1900-S;Chaise dactylo PARIS, noire;193.70;1937.00;10;10;03/06/2026
1906-S;Socle mobile ATHÈNES;435.80;5229.60;12;12;03/06/2026
1908-S;Chaise pivotante LONDRES, bleue;191.00;1719.00;9;9;03/06/2026
1920-S;Table de conférence ANVERS;651.10;5208.80;4;26;31/01/2026
1925-W;Offre groupée conférence 1-6;189.80;2087.80;11;11;03/06/2026
1928-S;Lampe AMSTERDAM;55.20;386.40;5;12;01/01/2026
1929-W;Offre groupée conférence 1-8;235.00;1175.00;5;5;03/06/2026
1936-S;Chaise dactylo BERLIN, jaune;193.70;1937.00;23;33;31/01/2026
1953-W;Section invité 1;126.40;2148.80;17;17;03/06/2026
1960-S;Chaise dactylo ROME, verte;193.70;581.10;3;3;03/06/2026
1964-S;Chaise dactylo TOKYO, bleue;193.70;1937.00;10;10;03/06/2026
1965-W;Offre groupée conférence 2-8;235.00;1880.00;8;8;03/06/2026
1968-S;Chaise pivotante MEXIQUE, noire;191.00;1910.00;5;15;31/03/2026
1969-W;Package conférence 1;343.50;5152.50;15;15;03/06/2026
1972-S;Chaise pivotante MUNICH, jaune;191.00;573.00;3;3;03/06/2026
1980-S;Chaise pivotante MOSCOU, rouge;191.00;2292.00;12;12;03/06/2026
1988-S;Chaise dactylo SÉOUL, rouge;193.70;1355.90;7;7;03/06/2026
1996-S;Tableau ATLANTA, socle;1404.30;16851.60;5;24;01/01/2026
2000-S;Chaise pivotante SYDNEY, verte;191.00;955.00;2;10;01/01/2026
CC-1000;Crédit carbone 3 MTCO2e;240.00;480.00;2;2;03/06/2026
F-100;Pompe à distance;100.00;400.00;4;4;03/06/2026
F-101;Tasses à café en papier;2400.00;45600.00;19;19;03/06/2026
GRH-1000;Precision Grind Home;199.00;3582.00;18;18;03/06/2026
GRH-1001;Smart Grind Home;299.00;4485.00;15;15;03/06/2026
GTE-1000;Grains torréfiés entiers, Colombie;15.00;300.00;2;52;04/06/2026
GTE-1001;Grains torréfiés entiers, Brésil;15.00;150.00;2;32;05/06/2026
GTE-1002;Grains torréfiés entiers, Indonésie;15.00;210.00;14;14;06/06/2026
S-100;S-100 Semi-Automatic;2400.00;2400.00;1;1;07/06/2026
S-210;S-210 Semi-Automatic;2400.00;45600.00;19;19;03/06/2026
SER101;Frais d’équipement;10.00;160.00;16;16;03/06/2026
SER102;Réparer;100.00;1100.00;11;11;03/06/2026
SERVICE203;Frais de projet;100.00;900.00;9;9;03/06/2026
SP-SCM1004;AutoDrip;179.00;3222.00;18;18;03/06/2026
SP-SCM1006;AutoDripLite;149.00;447.00;3;3;03/06/2026
SP-SCM1008;Airpot Lite;349.00;3141.00;9;9;03/06/2026
SP-SCM1009;Airpot;399.00;4788.00;12;12;03/06/2026
SP-SCM1011;Airpot Duo;499.00;8483.00;17;17;03/06/2026
WDB-1000;Whole Decaf Beans, Colombia;180.00;3240.00;18;18;03/06/2026
WDB-1001;Whole Decaf Beans, Brazil;210.00;420.00;2;2;03/06/2026
WDB-1002;Whole Decaf Beans, Indonesia;210.00;1470.00;7;7;03/06/2026
WDB-1003;Whole Decaf Beans, Mexico;210.00;2940.00;14;14;03/06/2026
WDB-1004;Whole Decaf Beans, Kenya;210.00;1680.00;8;8;03/06/2026
WDB-1005;Whole Decaf Beans, Costa Rica;210.00;2100.00;10;10;03/06/2026
WDB-1006;Whole Decaf Beans, Ethiopia;210.00;3360.00;16;16;03/06/2026
WDB-1007;Whole Decaf Beans, Hawaii;210.00;3150.00;15;15;03/06/2026
WRB-1003;Whole Roasted Beans, Mexico;180.00;720.00;4;4;03/06/2026
WRB-1004;Whole Roasted Beans, Kenya;180.00;1080.00;6;6;03/06/2026
WRB-1005;Whole Roasted Beans, COSTA RICA;180.00;1620.00;9;9;03/06/2026
WRB-1006;Whole Roasted Beans, ETHIOPIA;180.00;1800.00;10;10;03/06/2026
WRB-1007;Whole Roasted Beans, HAWAII;180.00;2880.00;16;16;03/06/2026
